dataset,split,seed,fraction_percent,file_count,total_train_files,list_path,sha256,sampling_rule
FloorPlanCAD,train,304,1,70,6965,configs/label_fractions/floorplancad_train_seed0304_001pct.txt,8dcd4f567878668f0d6c66277c3e5454f48def02feb4208ce81ce56ecda5dee8,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,304,5,349,6965,configs/label_fractions/floorplancad_train_seed0304_005pct.txt,dcf2c05505382ef2a627aff6be74c19773623bf5b40bcc3db7525ff9f2f31fc7,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,304,10,697,6965,configs/label_fractions/floorplancad_train_seed0304_010pct.txt,8975f1d7058a96c9ce0f831a6bfeb0f1c891bb283a525369d6cd858fbcdfc096,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,304,25,1742,6965,configs/label_fractions/floorplancad_train_seed0304_025pct.txt,feab3fb66723a228d0a496f281440183f57254ad91b1a084a8fb62660692dbf8,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,304,50,3483,6965,configs/label_fractions/floorplancad_train_seed0304_050pct.txt,bae719d02484a3056e0194c70f544e164635a66b32acc80e6f69e564525e6be7,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,304,100,6965,6965,configs/label_fractions/floorplancad_train_seed0304_100pct.txt,2e59c21868ece1c620f6f90fcc20083baf5675fd9ca81c11e321ec1e2760ee4c,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,1,70,6965,configs/label_fractions/floorplancad_train_seed1004_001pct.txt,ec72ff21698dc179bacd05ac77c398c0a76d9796727ec7fe0f0fec47f07c42bd,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,5,349,6965,configs/label_fractions/floorplancad_train_seed1004_005pct.txt,770c962d86ddfb645f5dc65fd3195abc32cacc5eeadaa29ca954c9b6869aebcd,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,10,697,6965,configs/label_fractions/floorplancad_train_seed1004_010pct.txt,422ed0054e07d0b9db9d737ee9ef6f9bcc0f5e14201603122f3ad627d8ae6ff1,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,25,1742,6965,configs/label_fractions/floorplancad_train_seed1004_025pct.txt,4b3ee6e382cba36300f8833865f937dd3f6adec2f1219a4e875df73886d56e27,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,50,3483,6965,configs/label_fractions/floorplancad_train_seed1004_050pct.txt,56011d7082df30a371891660d19d1b1171a4ef00affc09ebe1981213a7a2d61b,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,1004,100,6965,6965,configs/label_fractions/floorplancad_train_seed1004_100pct.txt,1107c5de1501868617121e9f397653d701dcaacd765ebb0b7e400bbfbcbb923b,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,1,70,6965,configs/label_fractions/floorplancad_train_seed2026_001pct.txt,02a96b7a9a7a0e297358af4d72816ed69680c14a03a403707e80005d4a8e3841,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,5,349,6965,configs/label_fractions/floorplancad_train_seed2026_005pct.txt,b9ab6bc385b7a37e7f96a851cf5b3f4fe92cc9b1444e3dd2eb9d1afafbc1bb1b,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,10,697,6965,configs/label_fractions/floorplancad_train_seed2026_010pct.txt,b9a78cec3dc518dbe36b6f56effedf6636805227705f33bd35e8776baef581ef,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,25,1742,6965,configs/label_fractions/floorplancad_train_seed2026_025pct.txt,3ff706fb69e31b84bed71667ec02f1ef606812c6f3905ed5556ae886758d462f,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,50,3483,6965,configs/label_fractions/floorplancad_train_seed2026_050pct.txt,c419fd2cb16fef53eb1ebb6b45cbce52a91b68f4fdc16192a180180baa897bee,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
FloorPlanCAD,train,2026,100,6965,6965,configs/label_fractions/floorplancad_train_seed2026_100pct.txt,19846134d2e9dc48a242ece931d9ad9790d867dd6adad9f4bdaeb9a9fb15c071,random shuffle with fixed seed; subset is the first ceil(N * fraction) files
