split,primitive_count_bin,file_count,share
train,0-99,334,0.047954
train,100-499,2947,0.423116
train,500-999,1546,0.221967
train,"1,000-1,999",1265,0.181622
train,"2,000-4,999",630,0.090452
train,"5,000-9,999",189,0.027136
train,"10,000+",54,0.007753
val,0-99,46,0.056790
val,100-499,316,0.390123
val,500-999,181,0.223457
val,"1,000-1,999",166,0.204938
val,"2,000-4,999",78,0.096296
val,"5,000-9,999",18,0.022222
val,"10,000+",5,0.006173
test,0-99,150,0.039195
test,100-499,1632,0.426444
test,500-999,914,0.238829
test,"1,000-1,999",694,0.181343
test,"2,000-4,999",335,0.087536
test,"5,000-9,999",82,0.021427
test,"10,000+",20,0.005226
all,0-99,530,0.045682
all,100-499,4895,0.421910
all,500-999,2641,0.227633
all,"1,000-1,999",2125,0.183158
all,"2,000-4,999",1043,0.089898
all,"5,000-9,999",289,0.024909
all,"10,000+",79,0.006809
