split,file,semantic_elements,core_semantic_elements,core_instance_count_nonnegative,core_approx_svg_length_units,door_instance_count,window_instance_count,opening_symbol_instance_count,door_window_opening_instance_count,wall_semantic_elements,wall_length_proxy_units,curtain_wall_semantic_elements,curtain_wall_length_proxy_units,railing_semantic_elements,railing_length_proxy_units,stairs_instance_count,elevator_instance_count,escalator_instance_count,vertical_transport_instance_count,sanitary_fixture_instance_count,kitchen_equipment_instance_count,hvac_instance_count,cabinet_instance_count,parking_spot_semantic_elements,parking_spot_length_proxy_units,ffe_instance_count
train,0000-0002.svg,1574,1056,44,2083.41,12,4,0,16,159,1359.197,0,0.0,15,134.806,0,0,0,0,20,0,0,8,0,0.0,18
train,0000-0003.svg,1305,804,38,2041.2,8,9,0,17,176,1285.205,0,0.0,0,0.0,0,0,0,0,12,0,0,9,0,0.0,18
train,0000-0011.svg,27,27,1,1019.791,1,0,0,1,19,605.05,0,0.0,4,391.964,0,0,0,0,0,0,0,0,0,0.0,0
train,0000-0016.svg,144,144,3,1866.107,3,0,0,3,109,1632.644,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0000-0023.svg,40,40,1,961.725,1,0,0,1,24,656.091,0,0.0,2,200.05,0,0,0,0,0,0,0,0,0,0.0,0
train,0000-0032.svg,9,9,0,972.086,0,0,0,0,7,692.086,0,0.0,2,280.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0000-0051.svg,208,208,8,2635.289,7,0,0,7,121,1679.206,0,0.0,4,338.088,1,0,0,1,0,0,0,0,0,0.0,0
train,0000-0058.svg,8,8,0,613.076,0,0,0,0,4,311.038,0,0.0,4,302.038,0,0,0,0,0,0,0,0,0,0.0,0
train,0001-0002.svg,2362,1785,25,1371.644,4,4,0,8,63,967.911,0,0.0,0,0.0,0,0,0,0,6,4,0,7,0,0.0,19
train,0001-0004.svg,1517,744,47,2101.72,17,4,0,21,116,1294.418,0,0.0,9,85.197,0,1,0,1,17,0,2,6,0,0.0,16
train,0001-0040.svg,3689,2906,61,7578.039,13,8,9,30,1417,5982.903,0,0.0,64,279.004,0,0,0,0,7,2,8,14,0,0.0,24
train,0001-0056.svg,2407,1116,35,2497.715,7,5,5,17,359,1462.498,0,0.0,16,205.637,0,0,0,0,2,0,7,9,0,0.0,15
train,0001-0087.svg,2201,1283,44,3688.938,10,5,4,19,635,2822.923,0,0.0,2,40.0,0,0,0,0,3,2,4,16,0,0.0,17
train,0002-0003.svg,1090,660,29,2032.408,8,8,0,16,176,1285.205,0,0.0,0,0.0,0,0,0,0,6,0,0,7,0,0.0,14
train,0002-0005.svg,1160,717,30,2141.086,7,9,0,16,188,1413.484,0,0.0,0,0.0,0,0,0,0,6,0,0,8,0,0.0,14
train,0003-0000.svg,1053,298,23,2584.621,5,5,0,10,67,887.092,0,0.0,15,130.794,1,0,0,1,0,0,0,12,0,0.0,15
train,0003-0004.svg,1512,723,48,1915.284,16,4,0,20,110,1286.892,0,0.0,0,0.0,0,0,0,0,18,0,0,10,0,0.0,16
train,0003-0008.svg,1687,100,7,1139.495,2,5,0,7,43,350.697,0,0.0,21,384.798,0,0,0,0,0,0,0,0,0,0.0,0
train,0003-0013.svg,425,425,28,2886.979,11,2,0,13,85,1404.709,0,0.0,0,0.0,1,2,0,3,12,0,0,0,0,0.0,0
train,0003-0021.svg,62,62,2,933.896,2,0,0,2,26,762.142,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0003-0023.svg,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0003-0028.svg,198,198,2,4375.01,1,0,0,1,47,558.249,10,492.0,8,487.929,0,0,1,1,0,0,0,0,0,0.0,0
train,0003-0039.svg,91,91,5,1414.712,5,0,0,5,33,1091.844,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0003-0040.svg,113,113,8,1744.852,6,2,0,8,40,516.991,12,560.0,2,280.0,0,0,0,0,0,0,0,0,0,0.0,0
train,0003-0043.svg,486,486,31,3592.916,14,2,0,16,103,1389.483,16,560.0,0,0.0,1,2,0,3,12,0,0,0,0,0.0,0
train,0003-0044.svg,211,211,12,1515.545,6,0,0,6,42,681.117,12,560.0,0,0.0,0,0,0,0,6,0,0,0,0,0.0,0
