split,class_id,class_name,role,semantic_elements,instance_count_nonnegative,files_with_class,share_of_split_files,tagged_geometry_elements,approx_svg_length_units
test,1,single door,开口/门窗,52632,9897,1939,0.506663,52632,356274.288
test,2,double door,开口/门窗,51847,5757,2023,0.528612,51847,343971.924
test,3,sliding door,开口/门窗,26469,2448,950,0.248236,26469,113612.139
test,4,folding door,开口/门窗,1085,58,26,0.006794,1085,5744.411
test,5,revolving door,开口/门窗,178,1,1,0.000261,178,421.03
test,6,rolling door,开口/门窗,2,1,1,0.000261,2,100.0
test,7,window,开口/门窗,73410,8657,1770,0.462503,73410,478034.895
test,8,bay window,开口/门窗,2258,231,87,0.022733,2258,15646.787
test,9,blind window,开口/门窗,8045,317,178,0.046512,8045,30863.38
test,10,opening symbol,开口/门窗,2107,270,74,0.019336,2107,10226.248
test,11,sofa,可选 FF&E,11133,539,170,0.044421,0,0.0
test,12,bed,可选 FF&E,78462,892,245,0.064019,0,0.0
test,13,chair,可选 FF&E,50666,4318,307,0.080219,0,0.0
test,14,table,可选 FF&E,24691,2285,357,0.093285,0,0.0
test,15,TV cabinet,可选 FF&E,6443,408,162,0.042331,0,0.0
test,16,Wardrobe,柜体/固定家具,36027,633,181,0.047296,0,0.0
test,17,cabinet,柜体/固定家具,28142,2127,361,0.09433,0,0.0
test,18,gas stove,厨卫/设备点位,28504,630,376,0.098249,0,0.0
test,19,sink,厨卫/设备点位,123806,3919,1124,0.293703,0,0.0
test,20,refrigerator,厨卫/设备点位,9191,520,347,0.090672,0,0.0
test,21,airconditioner,厨卫/设备点位,9476,1244,440,0.114973,0,0.0
test,22,bath,厨卫/设备点位,21168,627,296,0.077345,0,0.0
test,23,bath tub,厨卫/设备点位,14807,353,215,0.05618,0,0.0
test,24,washing machine,厨卫/设备点位,24822,545,351,0.091717,0,0.0
test,25,squat toilet,厨卫/设备点位,42820,1046,186,0.048602,0,0.0
test,26,urinal,厨卫/设备点位,30962,651,200,0.05226,0,0.0
test,27,toilet,厨卫/设备点位,96070,2032,772,0.201725,0,0.0
test,28,stairs,垂直交通,68930,2315,1467,0.383329,68930,771651.687
test,29,elevator,垂直交通,34869,1827,782,0.204338,34869,282499.39
test,30,escalator,垂直交通,4991,107,76,0.019859,4991,96554.269
test,31,row chairs,可选 FF&E,97350,0,76,0.019859,0,0.0
test,32,parking spot,车位,98743,0,303,0.079174,98743,541758.425
test,33,wall,墙体/围护,375206,0,3465,0.905409,375206,3918291.436
test,34,curtain wall,墙体/围护,58753,0,514,0.134309,58753,287416.902
test,35,railing,墙体/围护,11353,0,654,0.170891,11353,132905.287
train,1,single door,开口/门窗,113801,19585,3649,0.523905,113801,725890.012
train,2,double door,开口/门窗,109555,10623,3837,0.550897,109555,697792.271
train,3,sliding door,开口/门窗,47168,4404,1812,0.260158,47168,205274.404
train,4,folding door,开口/门窗,2221,74,45,0.006461,2221,4990.389
train,5,revolving door,开口/门窗,858,7,4,0.000574,858,1361.964
train,6,rolling door,开口/门窗,96,11,9,0.001292,96,4802.41
train,7,window,开口/门窗,112796,14137,2910,0.417803,112796,762905.866
