split,role,semantic_elements,instance_count_nonnegative,files_with_any_role,share_of_split_files,approx_svg_length_units
test,厨卫/设备点位,401626,11567,1370,0.357983,0.0
test,可选 FF&E,268745,8442,500,0.130651,0.0
test,垂直交通,108790,4249,1792,0.468252,1150705.346
test,墙体/围护,445312,0,3599,0.940423,4338613.625
test,开口/门窗,218033,27637,2933,0.766397,1354895.102
test,柜体/固定家具,64169,2760,368,0.096159,0.0
test,车位,98743,0,303,0.079174,541758.425
train,厨卫/设备点位,720068,20940,2363,0.339268,0.0
train,可选 FF&E,1053287,16841,1036,0.148744,0.0
train,垂直交通,212847,7904,3326,0.477531,2439014.069
train,墙体/围护,991664,0,6721,0.964968,9814343.081
train,开口/门窗,421488,50996,5404,0.775879,2520288.371
train,柜体/固定家具,187546,7278,865,0.124192,0.0
train,车位,148711,0,637,0.091457,992789.956
val,厨卫/设备点位,78146,2467,276,0.340741,0.0
val,可选 FF&E,178563,1754,129,0.159259,0.0
val,垂直交通,24984,962,375,0.462963,288878.738
val,墙体/围护,111483,0,786,0.97037,1175971.273
val,开口/门窗,47427,5905,605,0.746914,291936.93
val,柜体/固定家具,23571,869,106,0.130864,0.0
val,车位,23791,0,74,0.091358,137756.563
