split,file,token_count,semantic_token_count,unknown_semantic_token_count,class_count_nonzero,window_size,window_count,text_element_count,viewbox_min_x,viewbox_min_y,viewbox_width,viewbox_height,tag_circle,tag_ellipse,tag_line,tag_path,tag_polygon,tag_polyline,tag_rect
train,0000-0002.svg,2007,1574,0,12,2048,1,0,0.0,0.0,140.0,140.0,44,24,0,1939,0,0,0
train,0000-0003.svg,1888,1305,0,11,2048,1,0,0.0,0.0,140.0,140.0,38,20,0,1830,0,0,0
train,0000-0011.svg,141,27,0,3,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,140,0,0,0
train,0000-0016.svg,226,144,0,3,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,226,0,0,0
train,0000-0023.svg,249,40,0,3,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,248,0,0,0
train,0000-0032.svg,24,9,0,2,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,23,0,0,0
train,0000-0051.svg,406,208,0,5,2048,1,0,0.0,0.0,140.0,140.0,3,0,0,403,0,0,0
train,0000-0058.svg,28,8,0,2,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,26,0,0,0
train,0001-0002.svg,4383,2362,0,11,2048,3,0,0.0,0.0,140.0,140.0,128,15,0,4240,0,0,0
train,0001-0004.svg,1918,1517,0,13,2048,1,0,0.0,0.0,140.0,140.0,25,4,0,1889,0,0,0
train,0001-0040.svg,10303,3689,0,20,2048,6,0,0.0,0.0,140.0,140.0,77,1,0,10225,0,0,0
train,0001-0056.svg,6145,2407,0,13,2048,4,0,0.0,0.0,140.0,140.0,52,0,0,6093,0,0,0
train,0001-0087.svg,6600,2201,0,18,2048,4,0,0.0,0.0,140.0,140.0,49,1,0,6550,0,0,0
train,0002-0003.svg,1913,1090,0,10,2048,1,0,0.0,0.0,140.0,140.0,40,20,0,1853,0,0,0
train,0002-0005.svg,1764,1160,0,10,2048,1,0,0.0,0.0,140.0,140.0,41,16,0,1707,0,0,0
train,0003-0000.svg,1304,1053,0,10,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,1304,0,0,0
train,0003-0004.svg,1857,1512,0,10,2048,1,0,0.0,0.0,140.0,140.0,28,0,0,1829,0,0,0
train,0003-0008.svg,1839,1687,0,6,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,1839,0,0,0
train,0003-0013.svg,931,425,0,10,2048,1,0,0.0,0.0,140.0,140.0,27,0,0,904,0,0,0
train,0003-0021.svg,285,62,0,2,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,283,0,0,0
train,0003-0023.svg,44,0,0,0,2048,1,0,0.0,0.0,140.0,140.0,4,0,0,40,0,0,0
train,0003-0028.svg,418,198,0,5,2048,1,0,0.0,0.0,140.0,140.0,3,0,0,415,0,0,0
train,0003-0039.svg,400,91,0,2,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,398,0,0,0
train,0003-0040.svg,421,113,0,6,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,416,0,0,0
train,0003-0043.svg,1057,486,0,11,2048,1,0,0.0,0.0,140.0,140.0,35,0,0,1022,0,0,0
train,0003-0044.svg,523,211,0,7,2048,1,0,0.0,0.0,140.0,140.0,23,0,0,500,0,0,0
train,0003-0045.svg,216,62,0,5,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,211,0,0,0
train,0004-0004.svg,1372,952,0,13,2048,1,0,0.0,0.0,140.0,140.0,36,6,0,1330,0,0,0
train,0004-0014.svg,926,578,0,9,2048,1,0,0.0,0.0,140.0,140.0,18,0,0,908,0,0,0
train,0005-0004.svg,1214,736,0,13,2048,1,0,0.0,0.0,140.0,140.0,47,0,0,1167,0,0,0
train,0006-0000.svg,303,54,0,3,2048,1,0,0.0,0.0,140.0,140.0,3,0,0,300,0,0,0
train,0006-0008.svg,367,56,0,3,2048,1,0,0.0,0.0,140.0,140.0,4,0,0,363,0,0,0
train,0006-0013.svg,253,83,0,5,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,253,0,0,0
train,0006-0018.svg,936,637,0,6,2048,1,0,0.0,0.0,140.0,140.0,0,12,0,924,0,0,0
train,0006-0020.svg,1056,979,0,4,2048,1,0,0.0,0.0,140.0,140.0,18,0,0,1038,0,0,0
train,0006-0032.svg,263,208,0,4,2048,1,0,0.0,0.0,140.0,140.0,3,0,0,260,0,0,0
train,0006-0033.svg,197,159,0,3,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,195,0,0,0
train,0006-0034.svg,333,192,0,4,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,333,0,0,0
train,0006-0038.svg,890,168,0,4,2048,1,0,0.0,0.0,140.0,140.0,4,0,0,886,0,0,0
train,0006-0039.svg,432,320,0,6,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,431,0,0,0
train,0006-0043.svg,1365,256,0,5,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,1364,0,0,0
train,0006-0053.svg,588,288,0,6,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,586,0,0,0
train,0006-0063.svg,166,87,0,3,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,166,0,0,0
train,0007-0004.svg,611,201,0,6,2048,1,0,0.0,0.0,140.0,140.0,3,0,0,608,0,0,0
train,0007-0008.svg,669,322,0,6,2048,1,0,0.0,0.0,140.0,140.0,12,0,0,657,0,0,0
train,0007-0009.svg,859,444,0,9,2048,1,0,0.0,0.0,140.0,140.0,2,0,0,857,0,0,0
train,0007-0024.svg,519,153,0,3,2048,1,0,0.0,0.0,140.0,140.0,7,0,0,512,0,0,0
train,0007-0030.svg,451,74,0,2,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,445,0,0,0
train,0007-0031.svg,1029,484,0,8,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,1029,0,0,0
train,0007-0032.svg,427,102,0,4,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,422,0,0,0
train,0007-0033.svg,281,77,0,2,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,281,0,0,0
train,0007-0045.svg,539,381,0,7,2048,1,0,0.0,0.0,140.0,140.0,0,0,0,539,0,0,0
train,0008-0003.svg,661,225,0,8,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,655,0,0,0
train,0008-0009.svg,781,415,0,8,2048,1,0,0.0,0.0,140.0,140.0,1,0,0,780,0,0,0
train,0008-0012.svg,12342,2185,0,21,2048,7,0,0.0,0.0,140.0,140.0,91,2,0,12249,0,0,0
train,0008-0022.svg,11475,3831,0,21,2048,6,0,0.0,0.0,140.0,140.0,93,1,0,11381,0,0,0
train,0008-0024.svg,507,144,0,5,2048,1,0,0.0,0.0,140.0,140.0,8,0,0,499,0,0,0
train,0008-0032.svg,9548,5010,0,20,2048,5,0,0.0,0.0,140.0,140.0,84,4,0,9460,0,0,0
train,0008-0038.svg,382,170,0,6,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,376,0,0,0
train,0008-0042.svg,11570,2997,0,22,2048,6,0,0.0,0.0,140.0,140.0,90,2,0,11478,0,0,0
train,0008-0052.svg,8693,3878,0,20,2048,5,0,0.0,0.0,140.0,140.0,64,2,0,8627,0,0,0
train,0009-0010.svg,651,254,0,4,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,646,0,0,0
train,0009-0024.svg,521,91,0,3,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,515,0,0,0
train,0009-0032.svg,445,102,0,4,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,439,0,0,0
train,0009-0038.svg,448,91,0,4,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,443,0,0,0
train,0010-0001.svg,455,175,0,7,2048,1,0,0.0,0.0,140.0,140.0,5,0,0,450,0,0,0
train,0010-0013.svg,518,321,0,6,2048,1,0,0.0,0.0,140.0,140.0,6,0,0,512,0,0,0
train,0010-0017.svg,710,400,0,6,2048,1,0,0.0,0.0,140.0,140.0,2,12,0,696,0,0,0
